time_stamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
2021/11/3 15:51,2,5,5,5,5,5,2,5
2021/11/3 17:22,4,2,1,1,2,2,2,2
2021/11/3 17:33,2,4,5,4,5,3,3,3
2021/11/3 19:40,3,2,3,2,5,4,4,2
2021/11/3 20:02,1,5,5,5,5,5,1,5
2021/11/3 20:26,1,4,5,4,4,4,2,3
2021/11/3 21:07,2,5,4,5,4,4,4,5
2021/11/3 22:31,3,2,5,2,1,3,3,3
2021/11/4 0:15,1,5,5,5,5,5,3,3
2021/11/4 0:44,1,5,5,5,5,5,1,3
2021/11/4 0:51,1,5,5,2,4,5,4,4
2021/11/4 0:57,2,5,4,5,5,3,4,2
2021/11/4 8:37,5,4,2,1,5,3,3,3
2021/11/4 10:33,3,5,4,1,5,3,3,3
2021/11/4 10:45,3,4,3,5,2,1,3,3
2021/11/4 13:05,2,2,4,4,1,4,4,2
2021/11/4 13:10,2,4,4,4,4,4,2,4
2021/11/4 13:21,2,4,4,3,4,4,3,3
2021/11/4 16:12,2,4,2,2,4,4,1,4
2021/11/4 16:17,1,5,5,4,5,5,1,5
2021/11/4 16:24,3,4,5,4,5,3,2,5
2021/11/4 17:17,5,2,3,2,2,2,3,4
2021/11/4 18:14,4,4,1,1,2,1,4,2
2021/11/4 21:49,1,5,4,2,5,4,2,4
2021/11/5 19:52,2,5,4,5,4,2,4,2
2021/11/5 20:35,2,4,4,5,5,4,2,4
2021/11/5 23:23,2,4,5,3,5,4,2,4
2021/11/6 0:59,1,5,4,5,5,5,3,3
2021/11/7 2:25,1,4,2,3,4,1,4,1
2021/11/8 14:08,2,4,2,2,4,3,5,2
2021/11/8 14:26,5,1,4,4,2,1,3,4
2021/11/9 11:48,2,5,3,4,4,4,3,2
2021/11/9 19:01,4,5,5,4,3,3,2,4
2021/11/9 19:25,1,5,4,5,3,4,2,3
2021/11/9 19:27,3,2,1,2,4,3,5,3
2021/11/9 19:29,2,5,4,4,4,4,2,2
2021/11/9 19:43,2,4,2,2,3,2,4,2
2021/11/9 20:34,5,1,5,5,1,1,5,1
2021/11/9 20:58,5,5,2,5,5,1,5,2
2021/11/9 22:38,2,5,3,3,4,4,3,4
2021/11/10 15:55,3,4,3,4,3,3,3,4
2021/11/10 16:26,1,5,4,5,4,4,2,4
2021/11/2 11:27,1,1,1,1,1,1,1,1
2021/11/2 11:27,4,2,1,2,2,1,5,2
2021/11/2 11:27,5,1,5,5,1,1,5,1
2021/11/2 11:28,2,5,5,5,5,5,3,4
2021/11/2 11:28,2,2,2,2,4,2,4,2
2021/11/2 11:28,1,5,5,5,5,5,1,5
2021/11/2 11:28,1,5,5,5,5,5,1,5
2021/11/2 11:29,2,4,1,1,4,4,5,1
2021/11/2 11:29,2,5,5,5,5,5,4,4
2021/11/2 11:29,2,5,5,5,5,5,2,5
2021/11/2 11:29,1,4,3,4,3,5,4,2
2021/11/2 11:30,2,4,3,2,5,4,2,4
2021/11/2 11:31,2,5,5,5,5,4,3,4
2021/11/2 11:31,5,2,1,1,5,3,4,4
2021/11/2 11:32,1,5,5,5,4,5,4,4
2021/11/2 11:33,2,3,4,4,4,4,2,4
2021/11/2 11:33,4,5,5,4,4,5,4,2
2021/11/2 11:33,2,2,2,2,3,2,2,2
2021/11/2 11:35,4,2,1,1,1,2,3,1
2021/11/2 11:39,2,4,4,4,4,5,2,2
2021/11/2 11:39,2,4,3,3,5,5,2,4
2021/11/2 11:40,4,2,2,3,2,2,3,3
2021/11/2 11:42,4,2,5,4,4,4,4,2
2021/11/2 11:42,1,5,5,5,5,5,2,5
2021/11/2 11:42,2,5,5,4,4,4,2,4
2021/11/2 11:43,2,3,4,3,5,5,2,4
2021/11/2 11:47,2,5,5,5,1,1,1,3
2021/11/2 11:48,3,4,4,4,4,5,2,4
2021/11/2 11:49,4,4,2,3,2,2,3,3
2021/11/2 11:53,2,4,4,4,3,2,4,3
2021/11/2 11:53,2,4,5,5,4,1,2,5
2021/11/2 11:56,5,2,2,1,1,1,4,4
2021/11/2 11:59,2,4,5,4,5,5,2,4
2021/11/2 12:02,2,3,3,4,4,4,3,3
2021/11/2 12:04,4,4,4,4,5,5,2,4
2021/11/2 12:05,3,4,2,1,3,2,3,2
2021/11/2 12:05,2,4,4,2,4,4,2,4
2021/11/2 12:08,3,5,4,3,1,4,2,2
2021/11/2 12:09,5,3,4,4,4,2,4,4
2021/11/2 12:12,1,2,4,5,5,4,2,4
2021/11/2 12:15,1,4,5,2,5,5,3,5
2021/11/2 12:19,3,3,2,2,3,4,3,3
2021/11/2 12:32,2,3,4,3,4,3,3,3
2021/11/2 12:36,2,5,5,5,4,4,2,4
2021/11/2 12:38,2,4,4,3,4,4,2,5
2021/11/2 12:39,3,4,2,3,3,4,4,4
2021/11/2 12:42,3,4,3,3,4,1,3,4
2021/11/2 12:43,2,4,4,4,4,2,2,4
2021/11/2 12:45,2,5,5,5,5,5,4,3
2021/11/2 12:46,2,4,5,4,5,4,2,4
2021/11/2 12:50,2,4,5,4,4,4,1,5
2021/11/2 12:52,2,4,5,5,5,5,2,5
2021/11/2 12:58,1,5,5,5,4,5,5,1
2021/11/2 13:11,4,3,5,4,4,5,2,3
2021/11/2 13:18,5,1,2,5,5,5,5,5
2021/11/2 13:19,2,4,5,2,5,4,1,5
2021/11/2 13:25,1,5,5,5,5,2,2,2
2021/11/2 13:28,2,5,4,4,4,3,4,2
2021/11/2 13:40,3,4,2,2,4,2,4,2
2021/11/2 13:49,4,3,2,1,4,3,3,2
2021/11/2 13:55,2,5,5,5,5,3,1,5
2021/11/2 13:57,1,3,3,5,5,5,3,3
2021/11/2 13:59,5,2,1,4,4,2,5,1
2021/11/2 14:30,3,4,4,4,4,4,2,4
2021/11/2 14:35,2,2,3,1,4,1,4,1
2021/11/2 14:52,2,4,2,2,4,4,2,4
2021/11/2 14:58,1,3,2,2,3,1,4,3
2021/11/2 15:02,5,5,2,2,4,4,3,4
2021/11/2 15:04,1,4,3,5,4,5,4,2
2021/11/2 15:06,2,4,4,4,4,4,2,3
2021/11/2 15:26,1,1,2,1,2,1,5,3
2021/11/2 15:38,2,4,2,2,2,2,2,4
2021/11/2 15:40,2,4,4,3,5,3,3,3
2021/11/2 15:44,1,5,3,5,5,3,3,3
2021/11/2 15:46,2,5,4,4,4,2,4,2
2021/11/2 15:55,4,2,4,4,1,3,2,4
2021/11/2 16:22,3,4,5,4,4,5,2,3
2021/11/2 16:23,1,5,4,4,2,1,2,3
2021/11/2 16:28,3,4,4,4,4,5,4,3
2021/11/2 16:44,2,4,4,5,5,4,2,3
2021/11/2 16:48,4,4,5,2,4,2,2,5
2021/11/2 16:56,1,2,5,5,5,3,2,1
2021/11/2 16:57,4,4,4,2,4,4,4,2
2021/11/2 17:24,2,4,2,4,4,3,4,3
2021/11/2 17:31,2,4,4,3,4,4,2,4
2021/11/2 17:36,2,1,1,1,1,1,4,2
2021/11/2 18:03,2,4,2,3,5,5,2,4
2021/11/2 18:16,3,4,3,3,4,4,3,3
2021/11/2 18:32,2,4,2,1,4,3,3,4
2021/11/2 18:42,2,5,3,5,5,2,3,3
2021/11/2 18:47,2,4,4,4,2,3,3,4
2021/11/2 18:55,2,3,5,4,5,4,2,3
2021/11/2 18:58,3,3,4,4,5,2,4,4
2021/11/2 19:08,1,5,2,2,5,5,4,4
2021/11/2 19:12,2,4,4,4,4,4,1,3
2021/11/2 19:20,1,5,5,5,5,5,1,5
2021/11/2 19:29,2,3,3,5,3,3,5,3
2021/11/2 19:31,4,4,3,4,4,3,3,2
2021/11/2 19:48,4,4,4,5,4,5,2,4
2021/11/2 20:43,5,2,2,5,4,1,4,1
2021/11/2 21:08,3,4,4,4,4,4,4,2
2021/11/2 21:28,2,2,4,4,2,5,2,2
2021/11/2 21:54,3,4,2,2,5,2,3,3
2021/11/2 21:55,5,1,1,2,1,1,1,5
2021/11/2 21:57,4,4,5,5,5,4,2,4
2021/11/2 22:01,4,3,5,5,5,5,4,2
2021/11/2 22:20,2,4,5,4,5,4,2,5
2021/11/2 23:15,2,4,3,5,5,5,2,3
2021/11/2 23:59,5,5,1,2,5,5,3,4
2021/11/3 1:04,2,4,1,1,2,2,4,2
2021/11/3 1:08,5,1,1,1,5,1,1,5
2021/11/3 1:53,1,5,2,5,5,5,1,5
2021/11/3 7:15,2,5,4,5,4,4,2,5
2021/11/3 8:09,3,5,5,5,5,5,2,5
2021/11/3 9:25,3,4,3,4,4,3,3,3
2021/11/3 9:34,2,4,4,4,1,1,2,3
2021/11/3 10:05,2,5,4,2,5,5,2,5
2021/11/3 10:07,2,5,4,5,5,5,2,3
2021/11/3 10:18,2,5,4,1,5,4,1,4
2021/11/3 11:36,2,4,5,5,5,5,2,4
2021/11/3 11:43,3,3,2,4,2,1,2,2
2021/11/3 11:50,1,5,5,5,5,5,1,5
2021/11/3 12:52,1,5,5,1,5,5,2,4
2021/11/3 13:51,2,4,2,2,4,4,5,3
2021/11/3 14:10,2,4,5,4,5,5,3,4
2021/11/3 14:40,2,5,5,4,4,2,4,3
2021/11/3 15:44,5,5,5,5,1,1,2,1
2021/11/3 16:56,1,5,3,1,5,1,1,4
2021/11/3 17:35,2,4,5,5,4,2,3,2
2021/11/3 17:46,2,5,4,4,5,4,2,4
2021/11/3 17:52,2,4,4,4,4,4,2,3
2021/11/3 20:36,1,4,1,1,3,1,5,5
2021/11/3 21:14,2,5,3,3,5,4,3,5
2021/11/3 22:08,2,5,5,5,4,4,4,4
2021/11/4 1:12,3,5,4,5,3,4,4,2
2021/11/4 9:32,2,5,1,3,4,1,4,2
2021/11/4 11:14,2,5,5,5,5,5,4,3
2021/11/4 15:14,4,2,2,1,1,3,1,1
2021/11/4 23:28,1,5,4,5,5,5,2,4
2021/11/5 9:09,2,4,4,4,4,4,4,2
2021/11/5 13:06,5,2,1,5,2,1,5,5
2021/11/5 17:22,2,2,4,4,4,2,4,4
2021/11/5 19:32,3,3,5,4,4,4,2,3
2021/11/8 21:48,3,2,5,4,5,4,2,2
2021/11/9 19:23,1,5,4,1,4,5,4,2
2021/11/9 22:56,4,4,2,2,4,2,4,2
2021/11/10 10:29,1,4,5,5,5,5,2,4
2021/11/10 14:18,2,5,4,3,3,5,3,4
2021/11/10 15:00,5,1,1,1,5,5,5,1
